institution,institutional_region,normalised_institution,latitude,longitude,country,country_code,taught_workshops,taught_workshop_dates,taught_workshops_per_year,domains,badges,badges_dates,swc-instructor,dc-instructor,lc-instructor,trainer,earliest_badge_awarded,year_earliest_badge_awarded,airport,airport_code,airport_latitude,airport_longitude,airport_region
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,"2015-01-14-leeds,2015-06-15-cambridge,2015-08-26-leeds","2015-01-14,2015-06-15,2015-08-26",{2015: 3},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics']",['swc-instructor'],['2014-12-13'],2014-12-13,,,,2014-12-13,2014,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
,,,,,United Kingdom,GB,2015-11-09-culham,2015-11-09,{2015: 1},"['Space sciences', 'Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering']","['swc-instructor', 'dc-instructor']","['2014-12-11', '2016-11-15']",2014-12-11,2016-11-15,,,2014-12-11,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Cranfield University,Eastern,Cranfield University,52.073929,-0.628735,United Kingdom,GB,2020-02-10-turing,2020-02-10,{2020: 1},,['swc-instructor'],['2019-05-31'],2019-05-31,,,,2019-05-31,2019,Luton,LTN,51.874444,-0.36833299999999997,Eastern
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2015-09-07-guildford,2016-02-17-UCL_software_carpentry,2016-06-22-UCL_software_carpentry,2016-12-13-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2017-04-27-UCL_software_carpentry,2018-09-26-UCL_software_carpentry,2019-10-21-swc-ntnu,2019-09-25-UCL_software_carpentry,2020-03-23-ttt-online-GMT,2020-04-06-ucl-online,2020-04-21-ucl-online,2020-09-30-UCL","2015-09-07,2016-02-17,2016-06-22,2016-12-13,2016-09-22,2017-04-27,2018-09-26,2019-10-21,2019-09-25,2020-03-23,2020-04-06,2020-04-21,2020-09-30","{2015: 1, 2016: 4, 2017: 1, 2018: 1, 2019: 2, 2020: 4}","['Space sciences', 'Physics']","['swc-instructor', 'dc-instructor']","['2013-11-17', '2016-12-01']",2013-11-17,2016-12-01,,,2013-11-17,2013,London Heathrow,LHR,51.4775,-0.46138900000000005,London
,,,,,United Kingdom,GB,2017-05-11-edinburgh,2017-05-11,{2017: 1},,"['swc-instructor', 'dc-instructor']","['2018-05-28', '2018-05-28']",2018-05-28,2018-05-28,,,2018-05-28,2018,Edinburgh,EDI,55.95,-3.3725,Scotland
University of Strathclyde,Scotland,University of Strathclyde,55.861363,-4.244586,United Kingdom,GB,"2015-11-16-manchester-codima,2016-10-17-edinburgh,2017-01-09-dundee,2017-03-23-standrews,2017-05-18-standrews,2016-01-11-dundee,2018-01-11-ireland,2018-09-05-dundee,2018-11-27-standrews,2019-05-30-standrews,2018-03-20-dundee","2015-11-16,2016-10-17,2017-01-09,2017-03-23,2017-05-18,2016-01-11,2018-01-11,2018-09-05,2018-11-27,2019-05-30,2018-03-20","{2015: 1, 2016: 2, 2017: 3, 2018: 4, 2019: 1}","['Chemistry', 'Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2015-01-07', '2016-01-27']",2015-01-07,2016-01-27,,,2015-01-07,2015,Glasgow International Airport,GLA,55.8646,-4.43234,Scotland
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,"2014-09-15-unimelb,2014-12-08-combine-r,2015-05-27-SWC-MCRI,2015-06-29-qaeco-unimelb,2015-09-28-unimelb-r-psychology","2014-09-15,2014-12-08,2015-05-27,2015-06-29,2015-09-28","{2014: 2, 2015: 3}","['Genetics', ' genomics', ' bioinformatics']","['swc-instructor', 'dc-instructor']","['2014-10-03', '2017-01-16']",2014-10-03,2017-01-16,,,2014-10-03,2014,Stansted,STN,51.885,0.235,Eastern
University of Lancaster,North West,University of Lancaster,54.01048,-2.786905,United Kingdom,GB,"2015-04-30-SFU,2016-12-07-uvic","2015-04-30,2016-12-07","{2015: 1, 2016: 1}","['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)']","['swc-instructor', 'dc-instructor']","['2014-09-18', '2016-11-15']",2014-09-18,2016-11-15,,,2014-09-18,2014,Manchester,MAN,53.353611,-2.274722,North West
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2014-05-12-furg,2014-08-18-ufrj,2014-08-28-ufrgs,2014-09-01-ccsl,2014-09-04-ccsl,2014-12-11-ufsc,2015-06-19-labvis,2015-05-30-ufpr,2015-09-10-usp,2016-10-05-nottingham,2017-03-30-manchester,2017-06-21-qmul,2016-05-27-ccsl,2016-05-23-unicamp,2016-05-16-scipyla,2018-05-15-swc-manchester,2018-09-10-labvis,2019-09-03-UWC_Bellville,2019-09-16-Univeristy-of-Botswana-SAIS-UIG,2019-09-10-UWC_Bellville,2019-04-11-TIB","2014-05-12,2014-08-18,2014-08-28,2014-09-01,2014-09-04,2014-12-11,2015-06-19,2015-05-30,2015-09-10,2016-10-05,2017-03-30,2017-06-21,2016-05-27,2016-05-23,2016-05-16,2018-05-15,2018-09-10,2019-09-03,2019-09-16,2019-09-10,2019-04-11","{2014: 6, 2015: 3, 2016: 4, 2017: 2, 2018: 2, 2019: 4}",['Computer science/electrical engineering'],"['swc-instructor', 'dc-instructor']","['2013-11-17', '2016-01-27']",2013-11-17,2016-01-27,,,2013-11-17,2013,Manchester,MAN,53.353611,-2.274722,North West
Owen Stephens Consulting Ltd,,Owen Stephens Consulting Ltd,,,United Kingdom,GB,,,,['Library and information science'],['swc-instructor'],['2017-06-16'],2017-06-16,,,,2017-06-16,2017,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2015-04-16-imperial,2015-07-15-feltham","2015-04-16,2015-07-15",{2015: 2},"['Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2014-11-05'],2014-11-05,,,,2014-11-05,2014,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,2015-09-10-CAM,2015-09-10,{2015: 1},,['dc-instructor'],['2016-01-30'],,2016-01-30,,,2016-01-30,2016,Stansted,STN,51.885,0.235,Eastern
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2013-05-09-oxford,2014-01-14-manchester,2014-11-27-elixiruk-manchester,2016-01-26-london-nhm","2013-05-09,2014-01-14,2014-11-27,2016-01-26","{2013: 1, 2014: 2, 2016: 1}",,['swc-instructor'],['2013-11-17'],2013-11-17,,,,2013-11-17,2013,Manchester,MAN,53.353611,-2.274722,North West
,,,,,United Kingdom,GB,2014-02-28-ethz,2014-02-28,{2014: 1},"['Space sciences', 'Physics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2015-06-23'],2015-06-23,,,,2015-06-23,2015,London Gatwick,LGW,51.148056,-0.190278,South East
IBM,London,IBM,51.5071586,-0.1124157000000423,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Psychology/neuroscience']",['swc-instructor'],['2015-05-26'],2015-05-26,,,,2015-05-26,2015,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,"['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Economics/business']",['swc-instructor'],['2017-06-15'],2017-06-15,,,,2017-06-15,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Media Molecule,South East,Media Molecule,51.2355975,-0.5756398999999419,United Kingdom,GB,"2013-02-06-qmul,2014-05-08-soton","2013-02-06,2014-05-08","{2013: 1, 2014: 1}",,['swc-instructor'],['2013-07-20'],2013-07-20,,,,2013-07-20,2013,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Northumbria at Newcastle,North East,University of Northumbria at Newcastle,54.976769,-1.607512,United Kingdom,GB,2015-06-18-StAndrews,2015-06-18,{2015: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']",['swc-instructor'],['2015-02-03'],2015-02-03,,,,2015-02-03,2015,Newcastle,NCL,55.0375,-1.6916669999999998,North East
University of Hull,Yorkshire and The Humber,University of Hull,53.769661,-0.367171,United Kingdom,GB,2019-07-15-uw,2019-07-15,{2019: 1},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'High performance computing']",['swc-instructor'],['2019-01-03'],2019-01-03,,,,2019-01-03,2019,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564,Yorkshire and The Humber
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,"2014-11-24-leeds,2015-01-14-leeds,2015-08-26-leeds,2016-01-06-bristol,2016-01-18-leeds,2016-06-29-leeds,2017-01-18-bristol,2017-01-04-bristol,2017-09-26-Exeter","2014-11-24,2015-01-14,2015-08-26,2016-01-06,2016-01-18,2016-06-29,2017-01-18,2017-01-04,2017-09-26","{2014: 1, 2015: 2, 2016: 3, 2017: 3}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']","['swc-instructor', 'dc-instructor']","['2014-11-20', '2016-11-18']",2014-11-20,2016-11-18,,,2014-11-20,2014,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Edinburgh,Scotland,University of Edinburgh,55.948003,-3.188111,United Kingdom,GB,"2018-12-06-edinburgh-dc-genomics,2019-02-20-edinburgh-sbs-dc,2019-04-23-Edinburgh-Dc-Genomics,2020-06-25-edinburgh-dc-genomics,2020-12-01-edinburgh-bio-online","2018-12-06,2019-02-20,2019-04-23,2020-06-25,2020-12-01","{2018: 1, 2019: 2, 2020: 2}","['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics']",['dc-instructor'],['2018-02-01'],,2018-02-01,,,2018-02-01,2018,Edinburgh,EDI,55.95,-3.3725,Scotland
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2013-04-04-ucl,2013-09-27-ucl,2014-05-19-ucl,2014-11-05-uclhep,2015-02-25-ucl,2015-06-18-ucl,2016-11-10-uclhep,2017-04-27-UCL_software_carpentry,2017-11-09-uclhep,2019-09-25-UCL_software_carpentry","2013-04-04,2013-09-27,2014-05-19,2014-11-05,2015-02-25,2015-06-18,2016-11-10,2017-04-27,2017-11-09,2019-09-25","{2013: 2, 2014: 2, 2015: 2, 2016: 1, 2017: 2, 2019: 1}",['Physics'],"['swc-instructor', 'dc-instructor']","['2012-12-20', '2016-11-15']",2012-12-20,2016-11-15,,,2012-12-20,2012,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Bristol,South West,University of Bristol,51.459064,-2.6032919999999997,United Kingdom,GB,"2013-07-15-bath,2013-09-12-bristol,2013-11-14-exeter","2013-07-15,2013-09-12,2013-11-14",{2013: 3},"['Chemistry', 'High performance computing']",['swc-instructor'],['2013-07-17'],2013-07-17,,,,2013-07-17,2013,Bristol,BRS,51.3825,-2.718889,South West
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Space sciences', 'Physics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2016-03-01'],2016-03-01,,,,2016-03-01,2016,Manchester,MAN,53.353611,-2.274722,North West
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,,,,"['Physics', 'Psychology/neuroscience']",['swc-instructor'],['2015-07-11'],2015-07-11,,,,2015-07-11,2015,Manchester,MAN,53.353611,-2.274722,North West
University of Cambridge,Eastern,University of Cambridge,52.205317,0.11664200000000001,United Kingdom,GB,"2017-01-18-CAM,2017-06-21-Crick,2017-09-11-cambridge,2018-02-22-KCL,2018-05-02-EMBL,2018-06-28-cambridge,2019-01-29-EMBL","2017-01-18,2017-06-21,2017-09-11,2018-02-22,2018-05-02,2018-06-28,2019-01-29","{2017: 3, 2018: 3, 2019: 1}","['Genetics', ' genomics', ' bioinformatics']",['dc-instructor'],['2016-11-11'],,2016-11-11,,,2016-11-11,2016,Stansted,STN,51.885,0.235,Eastern
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,,['swc-instructor'],['2016-03-04'],2016-03-04,,,,2016-03-04,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Ediburgh,,University of Ediburgh,,,United Kingdom,GB,"2016-01-11-huddersfield,2019-11-12-edinburgh-sbs","2016-01-11,2019-11-12","{2016: 1, 2019: 1}","['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'High performance computing']","['swc-instructor', 'dc-instructor']","['2015-12-08', '2017-01-16']",2015-12-08,2017-01-16,,,2015-12-08,2015,Edinburgh,EDI,55.95,-3.3725,Scotland
Wellcome Trust Sanger Institute,Eastern,Wellcome Trust Sanger Institute,52.0797171,0.18558740000003127,United Kingdom,GB,"2016-01-11-huddersfield,2017-07-03-ngb-leeds","2016-01-11,2017-07-03","{2016: 1, 2017: 1}","['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2016-03-01'],2016-03-01,,,,2016-03-01,2016,Stansted,STN,51.885,0.235,Eastern
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,2016-06-16-leeds,2016-06-16,{2016: 1},['Humanities'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,,,,['Mathematics/statistics'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,"2017-11-06-manchester,2018-07-03-manchester,2018-11-19-manchester,2019-02-21-manchester,2019-05-09-manchester,2019-07-25-ttt-online-BST,2019-10-08-ttt-manchester,2020-01-20-ttt-CEST","2017-11-06,2018-07-03,2018-11-19,2019-02-21,2019-05-09,2019-07-25,2019-10-08,2020-01-20","{2017: 1, 2018: 2, 2019: 4, 2020: 1}","['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Physics', 'High performance computing']",['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,Manchester,MAN,53.353611,-2.274722,North West
The University of Manchester,North West,The University of Manchester,53.467943000000005,-2.233222,United Kingdom,GB,,,,,['swc-instructor'],['2017-09-26'],2017-09-26,,,,2017-09-26,2017,Manchester,MAN,53.353611,-2.274722,North West
Newcastle University,,Newcastle University,,,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2016-03-29'],2016-03-29,,,,2016-03-29,2016,Newcastle,NCL,55.0375,-1.6916669999999998,North East
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,,['swc-instructor'],['2017-12-22'],2017-12-22,,,,2017-12-22,2017,Birmingham,BHX,52.453610999999995,-1.7477779999999998,West Midlands
Imperial College London,,Imperial College London,,,United Kingdom,GB,2018-09-24-Imperial,2018-09-24,{2018: 1},['Computer science/electrical engineering'],['swc-instructor'],['2015-10-22'],2015-10-22,,,,2015-10-22,2015,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2017-09-25-UCL_software_carpentry,2019-07-15-UCL_software_carpentry","2017-09-25,2019-07-15","{2017: 1, 2019: 1}",,['swc-instructor'],['2017-11-13'],2017-11-13,,,,2017-11-13,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Bradford,Yorkshire and The Humber,University of Bradford,53.791716,-1.7621330000000002,United Kingdom,GB,"2015-10-29-Leeds-DC,2016-12-05-oxford,2017-10-12-oxford-swc,2018-02-22-KCL,2018-10-17-oxford-swc,2018-05-03-KCL,2019-10-14-bradford","2015-10-29,2016-12-05,2017-10-12,2018-02-22,2018-10-17,2018-05-03,2019-10-14","{2015: 1, 2016: 1, 2017: 1, 2018: 3, 2019: 1}","['Genetics', ' genomics', ' bioinformatics', 'Education']",['dc-instructor'],['2016-01-30'],,2016-01-30,,,2016-01-30,2016,Manchester,MAN,53.353611,-2.274722,North West
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,['Computer science/electrical engineering'],['swc-instructor'],['2016-01-19'],2016-01-19,,,,2016-01-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Ansys,,Ansys,,,United Kingdom,GB,,,,"['Space sciences', 'Physics']",['swc-instructor'],['2015-12-08'],2015-12-08,,,,2015-12-08,2015,Stansted,STN,51.885,0.235,Eastern
Imperial College London,,Imperial College London,,,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Education', 'Mathematics/statistics']",['swc-instructor'],['2016-04-19'],2016-04-19,,,,2016-04-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,"2016-02-17-UCL_software_carpentry,2015-11-10-UCL_software_carpentry,2016-09-22-UCL_software_carpentry,2018-09-06-oxford","2016-02-17,2015-11-10,2016-09-22,2018-09-06","{2016: 2, 2015: 1, 2018: 1}","['Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2018-08-29'],2018-08-29,,,,2018-08-29,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Daresbury Laboratory,North West,Daresbury Laboratory,53.34458119999999,-2.6399344000000156,United Kingdom,GB,,,,"['Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2016-04-13'],2016-04-13,,,,2016-04-13,2016,Manchester,MAN,53.353611,-2.274722,North West
University of Sheffield,Yorkshire and The Humber,University of Sheffield,53.381409,-1.488709,United Kingdom,GB,"2017-07-26-Sheffield,2017-08-16-sheffield,2018-11-26-sheffield","2017-07-26,2017-08-16,2018-11-26","{2017: 2, 2018: 1}","['Civil', ' mechanical', ' chemical', ' or nuclear engineering', 'Computer science/electrical engineering', 'High performance computing']",['swc-instructor'],['2017-06-15'],2017-06-15,,,,2017-06-15,2017,Robin Hood Doncaster Sheffield Airport,DSA,53.4805378,-1.0106564,Yorkshire and The Humber
University of St Andrews,Scotland,University of St Andrews,56.341205,-2.793016,United Kingdom,GB,"2018-11-27-standrews,2018-12-10-standrews,2019-05-02-standrews,2019-05-30-standrews,2019-09-23-standrews","2018-11-27,2018-12-10,2019-05-02,2019-05-30,2019-09-23","{2018: 2, 2019: 3}","['Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2019-01-11'],2019-01-11,,,,2019-01-11,2019,RAF Leuchars Airport,ADX,56.3728981,-2.8684399,Scotland
Kew Royal Botanic Gardens,London,Kew Royal Botanic Gardens,51.4787438,-0.2955729999999903,United Kingdom,GB,,,,,['dc-instructor'],['2016-03-09'],,2016-03-09,,,2016-03-09,2016,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,,,,,['swc-instructor'],['2016-02-19'],2016-02-19,,,,2016-02-19,2016,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2017-04-27-UCL_software_carpentry,2018-06-26-UCL_software_carpentry,2019-04-08-UCL_software_carpentry,2020-09-30-UCL","2017-04-27,2018-06-26,2019-04-08,2020-09-30","{2017: 1, 2018: 1, 2019: 1, 2020: 1}",,['swc-instructor'],['2017-06-01'],2017-06-01,,,,2017-06-01,2017,London City,LCY,51.505,0.05416699999999999,London
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,"2017-07-25-UCL_software_carpentry,2017-10-12-london","2017-07-25,2017-10-12",{2017: 2},"['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering', 'Mathematics/statistics']",['swc-instructor'],['2017-07-06'],2017-07-06,,,,2017-07-06,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Huddersfield,Yorkshire and The Humber,University of Huddersfield,53.643730000000005,-1.777712,United Kingdom,GB,"2017-07-17-imperial,2017-07-19-imperial,2017-07-03-ngb-leeds","2017-07-17,2017-07-19,2017-07-03",{2017: 3},"['Genetics', ' genomics', ' bioinformatics', 'Education']",['swc-instructor'],['2017-01-24'],2017-01-24,,,,2017-01-24,2017,Manchester,MAN,53.353611,-2.274722,North West
"EPCC, University of Edinburgh",,"EPCC, University of Edinburgh",,,United Kingdom,GB,2016-02-16-EPCC,2016-02-16,{2016: 1},['Mathematics/statistics'],['dc-instructor'],['2018-05-15'],,2018-05-15,,,2018-05-15,2018,Edinburgh,EDI,55.95,-3.3725,Scotland
"EPCC, The University of Edinburgh",,"EPCC, The University of Edinburgh",,,United Kingdom,GB,"2017-06-01-Belfast,2017-05-09-edinburgh,2019-06-10-york,2019-10-29-cardiff,2020-11-02-cardiff-online,2020-10-19-edinburgh-online","2017-06-01,2017-05-09,2019-06-10,2019-10-29,2020-11-02,2020-10-19","{2017: 2, 2019: 2, 2020: 2}","['Computer science/electrical engineering', 'Mathematics/statistics', 'High performance computing']",['dc-instructor'],['2018-03-01'],,2018-03-01,,,2018-03-01,2018,Edinburgh,EDI,55.95,-3.3725,Scotland
,,,,,United Kingdom,GB,,,,,['swc-instructor'],['2018-02-05'],2018-02-05,,,,2018-02-05,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Imperial College London,,Imperial College London,,,United Kingdom,GB,"2018-09-24-Imperial,2018-11-07-Imperial,2019-10-31-ttt-Imperial,2018-06-14-Imperial","2018-09-24,2018-11-07,2019-10-31,2018-06-14","{2018: 3, 2019: 1}",,['swc-instructor'],['2018-02-02'],2018-02-02,,,,2018-02-02,2018,London Heathrow,LHR,51.4775,-0.46138900000000005,London
Earlham Institute,Eastern,Earlham Institute,52.6217407,1.2189869000000044,United Kingdom,GB,"2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-01-21-earlham,2020-06-30-earlham","2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-01-21,2020-06-30","{2017: 2, 2018: 1, 2019: 2, 2020: 2}","['Genetics', ' genomics', ' bioinformatics', 'Computer science/electrical engineering']",['swc-instructor'],['2017-09-20'],2017-09-20,,,,2017-09-20,2017,Norwich,NWI,52.675833,1.282778,Eastern
Earlham Institute,Eastern,Earlham Institute,52.6217407,1.2189869000000044,United Kingdom,GB,"2016-10-18-EI,2016-10-17-lincoln,2017-10-10-norwich,2017-11-21-EI,2018-10-02-DC,2019-01-22-SWC,2019-03-05-earlham,2020-03-03-earlham,2020-01-21-earlham","2016-10-18,2016-10-17,2017-10-10,2017-11-21,2018-10-02,2019-01-22,2019-03-05,2020-03-03,2020-01-21","{2016: 2, 2017: 2, 2018: 1, 2019: 2, 2020: 2}","['Computer science/electrical engineering', 'Mathematics/statistics']",['dc-instructor'],['2017-08-24'],,2017-08-24,,,2017-08-24,2017,Norwich,NWI,52.675833,1.282778,Eastern
"Teesside University, UK",,"Teesside University, UK",,,United Kingdom,GB,"2016-06-07-TGAC,2017-04-26-norwich,2018-01-25-swansea,2019-01-29-elixir-Ljubljana,2018-12-06-edinburgh-dc-genomics,2018-05-16-elixir-slovenia,2020-06-25-edinburgh-dc-genomics,2021-01-26-rutgers","2016-06-07,2017-04-26,2018-01-25,2019-01-29,2018-12-06,2019-05-15,2020-06-25,2021-01-26","{2016: 1, 2017: 1, 2018: 2, 2019: 2, 2020: 1, 2021: 1}","['Genetics', ' genomics', ' bioinformatics', 'Education', 'High performance computing']",['swc-instructor'],['2017-04-21'],2017-04-21,,,,2017-04-21,2017,Manchester,MAN,53.353611,-2.274722,North West
,,,,,United Kingdom,GB,2016-11-07-manchester,2016-11-07,{2016: 1},,['swc-instructor'],['2016-08-29'],2016-08-29,,,,2016-08-29,2016,Manchester,MAN,53.353611,-2.274722,North West
University College London,London,University College London,51.524774,-0.133401,United Kingdom,GB,,,,"['Genetics', ' genomics', ' bioinformatics']","['swc-instructor', 'dc-instructor']","['2016-12-08', '2016-12-08']",2016-12-08,2016-12-08,,,2016-12-08,2016,London Gatwick,LGW,51.148056,-0.190278,South East
Public Health England,London,Public Health England,51.50153030000001,-0.10871080000003985,United Kingdom,GB,,,,"['Medicine', 'Mathematics/statistics']",['swc-instructor'],['2016-12-08'],2016-12-08,,,,2016-12-08,2016,London Heathrow,LHR,51.4775,-0.46138900000000005,London
The John Innes Centre,Eastern,The John Innes Centre,52.622271,1.2213810000000649,United Kingdom,GB,,,,"['Physics', 'Genetics', ' genomics', ' bioinformatics', 'Mathematics/statistics', 'High performance computing']",['swc-instructor'],['2017-02-23'],2017-02-23,,,,2017-02-23,2017,Norwich,NWI,52.675833,1.282778,Eastern
University of Dundee,Scotland,University of Dundee,56.4572,-2.97848,United Kingdom,GB,"2017-01-09-dundee,2018-09-05-dundee,2018-03-20-dundee","2017-01-09,2018-09-05,2018-03-20","{2017: 1, 2018: 2}",,['swc-instructor'],['2018-10-22'],2018-10-22,,,,2018-10-22,2018,Dundee,DND,56.4525,-3.025833,Scotland
Met Office,South West,Met Office,50.72742100000001,-3.472338000000036,United Kingdom,GB,,,,,['swc-instructor'],['2017-03-16'],2017-03-16,,,,2017-03-16,2017,Exeter,EXT,50.734444,-3.4138889999999997,South West
Met Office,South West,Met Office,50.72742100000001,-3.472338000000036,United Kingdom,GB,,,,"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)']","['swc-instructor', 'dc-instructor']","['2017-02-23', '2017-02-23']",2017-02-23,2017-02-23,,,2017-02-23,2017,Exeter,EXT,50.734444,-3.4138889999999997,South West
Met Office,South West,Met Office,50.72742100000001,-3.472338000000036,United Kingdom,GB,,,,,['swc-instructor'],['2017-03-08'],2017-03-08,,,,2017-03-08,2017,Exeter,EXT,50.734444,-3.4138889999999997,South West
University of Oxford,South East,University of Oxford,51.757644,-1.262868,United Kingdom,GB,"2017-03-13-oxford,2016-12-05-oxford","2017-03-13,2016-12-05","{2017: 1, 2016: 1}","['Organismal biology (ecology', ' botany', ' zoology', ' microbiology)', 'Social sciences']","['dc-instructor', 'swc-instructor']","['2017-01-16', '2017-01-16']",2017-01-16,2017-01-16,,,2017-01-16,2017,London Heathrow,LHR,51.4775,-0.46138900000000005,London
University of Leeds,Yorkshire and The Humber,University of Leeds,53.808493999999996,-1.552797,United Kingdom,GB,"2016-06-27-leeds,2016-11-21-leeds,2016-09-14-leeds","2016-06-27,2016-11-21,2016-09-14",{2016: 3},"['Planetary sciences (geology', ' climatology', ' oceanography', ' etc.)', 'Social sciences']",['swc-instructor'],['2015-09-25'],2015-09-25,,,,2015-09-25,2015,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
British Library,London,British Library,51.584516,-0.136804,United Kingdom,GB,"2017-07-26-Sheffield,2017-03-07-sheffield-lc,2018-05-14-edinburgh","2017-07-26,2017-03-07,2018-05-14","{2017: 2, 2018: 1}","['Computer science/electrical engineering', 'Library and information science', 'Education']",['dc-instructor'],['2017-05-05'],,2017-05-05,,,2017-05-05,2017,Leeds,LBA,53.865832999999995,-1.6605560000000001,Yorkshire and The Humber
