slug,humandate,start,end,tags,venue,address,latitude,longitude,contact,eventbrite_id,url
2013-09-27-ucl,"Sep 27-28, 2013",27/09/13,28/09/13,SWC,University College London,University College London,49.260605,-123.245994,,,http://cannot.find.url/2013-09-27-ucl/
2013-09-12-bristol,"Sep 12-13, 2013",12/09/13,13/09/13,SWC,University of Bristol, ,51.457971,-2.601474,admin-uk@software-carpentry.org,7033416137,https://swcarpentry.github.io/2013-09-12-bristol/
2013-07-15-bath,"Jul 15-16, 2013",15/07/13,16/07/13,SWC,University of Bath, ,51.3777431,-2.3263779,host-bath@software-carpentry.org,6059565323,https://swcarpentry.github.io/2013-07-15-bath/
2013-06-03-southampton,"Jun 03-04, 2013",03/06/13,04/06/13,SWC,University of Southampton, ,50.937716,-1.395599,host-soton@software-carpentry.org,5718730878,https://swcarpentry.github.io/2013-06-03-southampton/
2013-05-09-oxford,"May 09-10, 2013",09/05/13,10/05/13,SWC,University of Oxford, ,51.759865,-1.258648,host-oxford-dtc@software-carpentry.org,5656292122,https://swcarpentry.github.io/2013-05-09-oxford/
2013-04-18-manchester,"Apr 18-19, 2013",18/04/13,19/04/13,SWC,University of Manchester, ,53.4783491,-2.2416052,host-manchester@software-carpentry.org,5397207192,https://swcarpentry.github.io/2013-04-18-manchester/
2013-04-04-ucl,"Apr 04, 2013-???",04/04/13,,SWC,University College London, ,51.524789,-0.133578,host-ucl@software-carpentry.org,,https://swcarpentry.github.io/2013-04-04-ucl/
2013-02-06-qmul,"Feb 06-07, 2013",06/02/13,07/02/13,SWC,Queen Mary University London,Queen Mary University London,49.260605,-123.245994,,,http://cannot.find.url/2013-02-06-qmul/
2012-12-04-edinburgh,"Dec 04-05, 2012",04/12/12,05/12/12,SWC,University of Edinburgh, ,55.9453279,-3.1911838,michaelj@epcc.ed.ac.uk,,https://swcarpentry.github.io/2012-12-04-edinburgh/
2012-10-30-oxford,"Oct 30-31, 2012",30/10/12,31/10/12,SWC,Oxford University,New Biochemistry,51.7571373,-1.2569052,philip.fowler@bioch.ox.ac.uk,,https://swcarpentry.github.io/2012-10-30-oxford/
2012-09-13-dafx,"Sep 13-14, 2012",13/09/12,14/09/12,SWC,DAFx Conference,University of York,53.9481933,-1.0529144,,3869164776,https://swcarpentry.github.io/2012-09-13-dafx/
2012-07-10-ral,"Jul 10-12, 2012",10/07/12,12/07/12,SWC,Rutherford Appleton Laboratory, ,51.573333,-1.314722,,, 
2012-05-14-newcastle,"May 14-15, 2012",14/05/12,15/05/12,SWC,Newcastle University, ,54.980095,-1.6146142,swc2012@ncl.ac.uk,3017719079,https://swcarpentry.github.io/2012-05-14-newcastle/
2012-04-30-ucl,"Apr 30-May 01, 2012",30/04/12,01/05/12,SWC,University College London, ,51.5598815,-0.1334579,,3010082237,https://swcarpentry.github.io/2012-04-30-ucl/
